"","NAME","YEAR","POPULATION"
"297","Ohio","2005",11463320
"298","Oklahoma","2005",3548597
"299","Oregon","2005",3613202
"300","Pennsylvania","2005",12449990
"301","Rhode Island","2005",1067916
"302","South Carolina","2005",4270150
"303","South Dakota","2005",775493
"304","Tennessee","2005",5991057
"305","Texas","2005",22778123
"306","Utah","2005",2457719
"307","Vermont","2005",621215
"308","Virginia","2005",7577105
"309","Washington","2005",6257305
"310","West Virginia","2005",1820492
"311","Wisconsin","2005",5546166
"312","Wyoming","2005",514157
"313","United States","2006",298379912
"314","Alabama","2006",4628981
"315","Alaska","2006",675302
"316","Arizona","2006",6029141
"317","Arkansas","2006",2821761
"318","California","2006",36021202
"319","Colorado","2006",4720423
"320","Connecticut","2006",3517460
"321","Delaware","2006",859268
"322","District of Columbia","2006",570681
"323","Florida","2006",18166990
"324","Georgia","2006",9155813
"325","Hawaii","2006",1309731
"326","Idaho","2006",1468669
"327","Illinois","2006",12643955
"328","Indiana","2006",6332669
"329","Iowa","2006",2982644
"330","Kansas","2006",2762931
"331","Kentucky","2006",4219239
"332","Louisiana","2006",4302665
"333","Maine","2006",1323619
"334","Maryland","2006",5627367
"335","Massachusetts","2006",6410084
"336","Michigan","2006",10036081
"337","Minnesota","2006",5163555
"338","Mississippi","2006",2904978
"339","Missouri","2006",5842704
"340","Montana","2006",952692
"341","Nebraska","2006",1772693
"342","Nevada","2006",2522658
"343","New Hampshire","2006",1308389
"344","New Jersey","2006",8661679
"345","New Mexico","2006",1962137
"346","New York","2006",19104631
"347","North Carolina","2006",8917270
"348","North Dakota","2006",649422
"349","Ohio","2006",11481213
"350","Oklahoma","2006",3594090
"351","Oregon","2006",3670883
"352","Pennsylvania","2006",12510809
"353","Rhode Island","2006",1063096
"354","South Carolina","2006",4357847
"355","South Dakota","2006",783033
"356","Tennessee","2006",6088766
"357","Texas","2006",23359580
"358","Utah","2006",2525507
"359","Vermont","2006",622892
"360","Virginia","2006",7673725
"361","Washington","2006",6370753
"362","West Virginia","2006",1827912
"363","Wisconsin","2006",5577655
"364","Wyoming","2006",522667
"365","United States","2007",301231207
"366","Alabama","2007",4672840
"367","Alaska","2007",680300
"368","Arizona","2007",6167681
"369","Arkansas","2007",2848650
"370","California","2007",36250311
"371","Colorado","2007",4803868
"372","Connecticut","2007",3527270
"373","Delaware","2007",871749
"374","District of Columbia","2007",574404
"375","Florida","2007",18367842
"376","Georgia","2007",9349988
"377","Hawaii","2007",1315675
"378","Idaho","2007",1505105
"379","Illinois","2007",12695866
"380","Indiana","2007",6379599
"381","Iowa","2007",2999212
"382","Kansas","2007",2783785
"383","Kentucky","2007",4256672
"384","Louisiana","2007",4375581
"385","Maine","2007",1327040
"386","Maryland","2007",5653408
"387","Massachusetts","2007",6431559
